Vehicle Name,Year of Model,Brand Name,Engine,Kms Driven,Variant,Transmission Type,Number of Photos Uploaded,Total Views,Price of the Car
2018 Hyundai I20,2018,Hyundai,Petrol CVT Asta,"32,069",Petrol,Automatic, 31,3195,"6,55,500"
2015 Audi Q5,2015,Audi,2.0 TDI Premium Plus,"61,095",Diesel,Automatic, 30,1292,"29,48,600"
2017 Hyundai Grand I10,2017,Hyundai,1.2 CRDi Sportz,"54,117",Diesel,Manual, 30,1512,"4,96,900"
2017 Maruti Baleno,2017,Maruti,Delta Diesel,"41,614",Diesel,Manual, 30,1304,"7,60,800"
2018 Hyundai Grand I10,2018,Hyundai,1.2 CRDi Asta,"67,628",Diesel,Manual, 31,1195,"4,91,500"
2018 Hyundai Grand I10,2018,Hyundai,1.2 Kappa Sportz BSIV,"19,017",Petrol,Manual, 30,1346,"5,20,800"
2017 Honda City,2017,Honda,i-VTEC CVT ZX,"52,362",Petrol,Automatic, 31,5675,"8,95,000"
2017 Maruti Alto 800,2017,Maruti,LXI,"11,763",Petrol,Manual, 29,4323,"3,10,000"
2015 Ford Ecosport,2015,Ford,1.5 DV5 MT Titanium,"63,959",Diesel,Manual, 30,2994,"5,85,000"
2017 Hyundai Grand I10,2017,Hyundai,CRDi Sportz,"59,298",Diesel,Manual, 30,1317,"6,44,400"
2017 Maruti Alto 800,2017,Maruti,LXI,"41,583",Petrol,Manual, 13,100,"2,78,700"
2017 Honda Wr-v,2017,Honda,i-DTEC VX,"1,03,301",Diesel,Manual, 32,375,"7,10,000"
2018 Maruti Wagon R,2018,Maruti,VXI,"43,039",Petrol,Manual, 6,31,"4,43,000"
2015 Ford Figo Aspire,2015,Ford,1.2 Ti-VCT Titanium Plus,"37,726",Petrol,Manual, 1,2268,"4,00,000"
2014 Hyundai Verna,2014,Hyundai,SX CRDi AT,"83,895",Diesel,Automatic, 16,2154,"5,60,000"
2014 Maruti Wagon R,2014,Maruti,VXI,"33,228",Petrol,Manual, 13,610,"3,42,500"
2014 Maruti Wagon R,2014,Maruti,VXI,"28,734",Petrol,Manual, 30,3247,"3,40,000"
2013 Maruti Wagon R,2013,Maruti,VXI,"76,390",Petrol,Manual, 13,546,"3,27,000"
2014 Maruti Wagon R,2014,Maruti,LXI CNG,"63,135",CNG,Manual, 13,736,"3,90,000"
2018 Hyundai Verna,2018,Hyundai,CRDi 1.6 SX Option,"44,231",Diesel,Manual, 13,1713,"9,90,000"
2014 Maruti Wagon R,2014,Maruti,VXI BS IV,"82,801",Petrol,Manual, 13,1424,"3,15,000"
2015 Maruti Celerio,2015,Maruti,Green VXI,"95,907",CNG,Manual, 13,173,"4,07,000"
2013 Honda Brio,2013,Honda,S MT,"23,984",Petrol,Manual, 15,1230,"3,32,500"
2015 Maruti Wagon R,2015,Maruti,VXI BS IV,"55,065",Petrol,Manual, 13,1066,"3,74,500"
2018 Maruti Ignis,2018,Maruti,1.2 Zeta BSIV,"11,457",Petrol,Manual, 13,1678,"5,10,000"
2013 Hyundai I10,2013,Hyundai,Sportz,"94,117",Petrol,Manual, 13,739,"2,90,000"
2016 Maruti Celerio,2016,Maruti,ZXI AT,"40,540",Petrol,Automatic, 13,1688,"4,20,000"
2019 Datsun Redigo,2019,Datsun,A,"17,387",Petrol,Manual, 8,281,"2,63,500"
2019 Renault Kwid,2019,Renault,1.0 RXT AMT Opt,"10,984",Petrol,Automatic, 31,435,"4,51,000"
2014 Maruti Swift,2014,Maruti,VXI,"53,215",Petrol,Manual, 31,1104,"4,40,000"
2017 Hyundai I20,2017,Hyundai,Magna 1.4 CRDi,"67,806",Diesel,Manual, 13,541,"5,96,000"
